    type_stands,X,Y,Easting,Northing,location_stand,no_stands,physical_condition,occupancy,expanded_capacity,security_safetyrating,lighting,protection_weather,large_development,ease_access,proximity_cyclenetwork,commercial,retail,residential,transportation,education,recreational,entertainment,restaurants,expanded_stands
Railing,-6.261603534,53.34194076,315835.383,233794.729,Coppinger row ,4,High,50,100,High,High,Low,All,Good,Unknown,,,,,,,,,4
Railing,-6.258242726,53.34913596,316039.668,234600.883,Saclville Place,7,High,7,100,Medium,High,Low,All,Good,Unknown,,,,,,,,,7
Railing,-6.26198709,53.34380633,315804.783,234001.712,Trinity street,4,Medium,50,100,Medium,High,Low,All,Good,Unknown,,,,,,,,,4
Sheffield Stand,-6.242224574,53.3428079,317123.625,233922.833,Pearce street opposite parser square,4,High,50,100,High,High,Low,All,Good,Visible,,,,,,,,,4
Sheffield Stand,-6.267755181,53.350079,315403.707,234690.411,Parnell street outside cineworld.,7,High,50,100,High,High,Low,All,Good,Adjacent & Visible,,,,,,,Yes,,7
Sheffield Stand,-6.256624013,53.34880213,316148.363,234566.365,"Abbey Street Lower, outside Abbey Theatre.",11,High,0,100,,High,Low,All,Good,Unknown,,,,Yes,,,,,11
Sheffield Stand,-6.255399585,53.34901748,316229.309,234592.322,Abbey Street Lower outside Beresford Court.,8,High,5,100,High,High,Low,All,Good,Unknown,,,,,,,,,8
Sheffield Stand,-6.256809086,53.34580232,316144.193,234232.239,Pearce street and Townsend street,20,High,90,100,High,High,Low,All,Good,Visible,,,,,,,,,20
Sheffield Stand,-6.260926276,53.3398373,315886.191,233561.751,"Stephens green, in front of beneton shop",15,High,90,100,High,High,Low,All,Good,Visible,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,15
Sheffield Stand,-6.227487177,53.34842026,318089.587,234571.656,East wall road outside the O2 ,18,High,,100,Medium,High,Low,All,Good,Visible,,,,Yes,,,Yes,,18
Sheffield Stand,-6.261851639,53.34615699,315807.433,234263.518,"Bedford row, beside Ladbrokes",4,High,20,100,High,High,Low,All,Good,Visible,,,,,,,,,4
Sheffield Stand,-6.2569727,53.35029835,316121.077,234732.301,Talbot Street outside Carrolls shop,4,High,13,100,High,High,Low,All,Good,Unknown,,,,,,,,,4
Sheffield Stand,-6.259736717,53.34583434,315949.146,234231.045,"Fleet Street, outside TGI restaurant.",4,High,35,100,High,High,Low,All,Good,Unknown,,,,,,,,,4
Sheffield Stand,-6.262689829,53.34607693,315751.832,234253.25,"Aston quay, outside house of colour",4,High,40,100,High,High,Low,All,Good,Unknown,,,,,,,,,4
Sheffield Stand,-6.262397468,53.3327959,315807.281,232775.783,Harcourt street outside Starbucks ,17,High,110,100,High,High,Low,All,Good,Unknown,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,17
Sheffield Stand,-6.269115061,53.33779779,315346.302,233321.534,"New bride street , Infront of small green",5,High,0,100,High,High,Low,,Good,Visible,,,Yes,,Yes,,,,5
Sheffield Stand,-6.243086904,53.33666389,317083.026,233237.703,Mount street ctescent,7,High,20,100,Medium,High,Low,All,Good,Visible,,,,,,,,,7
Sheffield Stand,-6.254668683,53.34915197,316277.613,234608.478,Beresford Place median,3,High,0,100,High,High,Low,All,Fair,Unknown,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3
Sheffield Stand,-6.266076118,53.33774334,315548.86,233320.387,Kevin's street outside o haras pharmacy,5,High,80,100,High,High,Low,All,Good,Adjacent & Visible,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5
Sheffield Stand,-6.260073334,53.36081366,315886.087,235897.431,Dorset street outside gaa ticket office ,5,High,20,100,High,High,Low,All,Good,Adjacent & Visible,,,,,,,,,6
Sheffield Stand,-6.265628189,53.33737258,315579.697,233279.852,"Wexford street, Infront of mega bikes.",3,High,15,100,High,High,Low,All,Good,Adjacent & Visible,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3
Sheffield Stand,-6.265334487,53.33563406,315603.961,233086.862,"Camden street lower, outside ulster bank",2,High,50,100,High,High,High,All,Good,Adjacent & Visible,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2
Sheffield Stand,-6.256683022,53.35602898,316124.787,235370.489,Mountjoy square south outside dit,9,High,25,100,Medium,High,Low,All,Good,Unknown,,,,,,,,,9
Sheffield Stand,-6.26425758,53.34045385,315662.65,233624.961,"Noel Purcell Walk, Infront of beaux lane house",25,High,50,100,Medium,High,Low,All,Good,Unknown,,,,,,,,,25
Sheffield Stand,-6.26260668,53.34104558,315770.999,233693.485,"Chatham road, outside Mao restaurant",6,High,50,100,High,High,Low,All,Good,Unknown,,,,,,,,,6
Sheffield Stand,-6.263074726,53.34134584,315739.014,233726.14,"William street south, outside dada restautsnt",5,High,100,100,High,High,Low,All,Good,Unknown,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5
Sheffield Stand,-6.261555254,53.34365901,315833.941,233986.018,Saint Andrew street,3,High,100,100,High,High,Low,All,Good,Unknown,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3
Sheffield Stand,-6.264543235,53.34274625,315637.422,233879.602,"South George's street, outside Diwali",5,High,80,100,High,High,Low,All,Good,Visible,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5
Sheffield Stand,-6.264674664,53.34206327,315630.517,233803.386,"George's street, outside Hogans pub",3,High,100,100,High,High,Low,All,Good,Adjacent & Visible,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3
Sheffield Stand,-6.269145906,53.35812925,315289.375,235584.016,Berkeley road outside Berkeley wash,4,High,20,100,Medium,High,Low,All,Good,Adjacent & Visible,,,,,,,,,4
Sheffield Stand,-6.26068756,53.35209391,315868.85,234926.08,Cathal Brugha street outside the Irish aid office,9,High,100,100,High,High,Low,All,Good,,,,,,,,,,9
Sheffield Stand,-6.290507019,53.33420699,313931.045,232887.606,Cork street,6,High,15,100,High,High,Low,All,Good,Adjacent & Visible,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,6
Sheffield Stand,-6.265275478,53.33621064,315606.332,233151.12,"Camden street lower, Infront of icon health store. ",6,High,15,100,High,High,Low,All,Good,Adjacent & Visible,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,6
Sheffield Stand,-6.262984872,53.34294562,315740.665,233904.313,"Drury street, outside Carousel",3,High,100,100,High,High,Low,All,Good,Unknown,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3
Sheffield Stand,-6.263002306,53.34274225,315740.055,233881.653,Drury street outside Irish design shop,9,High,100,100,High,High,Low,All,Good,Unknown,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,9
Sheffield Stand,-6.255485415,53.33438318,316263.399,232963.648,"End of Hatch street lower, both sides of the road, outside cafe sol",11,High,85,100,Medium,High,Low,All,Good,Visible,,,,,,,,,11
Sheffield Stand,-6.25756681,53.33374331,316126.494,232889.056,Hatch street lower,4,High,90,100,Medium,High,Low,All,Good,Visible,,,,,,,,,4
Sheffield Stand,-6.264339387,53.34348527,315648.998,233962.172,"George's street, opposite Dublin business school",4,High,80,100,High,High,Low,All,Good,Adjacent & Visible,,,,,,,,,4
Sheffield Stand,-6.266876757,53.34402251,315478.565,234017.851,Open square beside Dublin City hall,11,High,85,100,High,High,Low,All,Good,Visible,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,11
Sheffield Stand,-6.26842171,53.34736269,315366.659,234387.057,Capel street outside spar,3,High,90,100,Medium,High,Low,All,Good,Unknown,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3
Sheffield Stand,-6.267835647,53.34653888,315407.911,234296.329,"Great strand street, outside pantibar",3,High,100,100,High,High,Low,All,Good,Unknown,,,,,,,,,3
Sheffield Stand,-6.268506199,53.34472227,315368.162,234093.089,"Essex street west, outside the gaiety school of acting.",3,High,50,100,High,Medium,Low,,Good,Unknown,,,,,Yes,,,,3
Sheffield Stand,-6.267154366,53.34537639,315456.42,234168.065,Wellington quay,6,High,12,100,High,Low,Low,All,Good,Unknown,,,,,Yes,,,,6
Sheffield Stand,-6.272738725,53.34685272,315080.56,234323.341,Four courts luas stop,11,High,0,100,Medium,High,Low,All,Good,Unknown,,,,,,,,,11
Sheffield Stand,-6.257389784,53.34818009,316099.061,234495.898,Marlborough street,4,High,37,100,High,High,Low,All,Good,Visible,,,,,,,,,4
Sheffield Stand,-6.28135398,53.34313377,314516.822,233895.639,Thomas street across from the hill top bar,3,High,0,100,High,High,Low,All,Good,Adjacent & Visible,,,,,,,,,3
Sheffield Stand,-6.275115162,53.34155082,314936.568,233729.506,Francis street opposite the liberty bell pub,4,High,15,100,Medium,High,Low,All,Good,Unknown,,,,,,,,,4
Sheffield Stand,-6.275891662,53.34326188,314880.254,233918.668,Cornmarket street outside farrow and ball,3,High,50,100,High,High,Low,All,Good,Adjacent & Visible,,,,,,,,,3
Sheffield Stand,-6.275187582,53.3480536,314914.257,234453.035,May lane outside Hanley at the bar,8,High,90,100,,High,Low,All,Good,Visible,,,,,,,,,8
Sheffield Stand,-6.270484328,53.35087553,315219.835,234774.644,North kings street outside centra,4,High,25,100,High,High,Low,All,Good,Adjacent & Visible,,,,,,,,,4
Sheffield Stand,-6.260164529,53.35221318,315903.351,234940.202,Cathal Brugha Street outside the Living Room pub,14,High,90,100,High,High,Low,All,Good,Unknown,,,,,,,,,14
Sheffield Stand,-6.267481595,53.34471186,315436.423,234093.586,Parliament street outside paramount hotel,5,High,15,100,High,High,Low,All,Good,,,,,,,,,,5
Sheffield Stand,-6.267346144,53.34468624,315445.513,234090.954,Parliament street outside spar shop,5,High,60,100,High,High,Low,All,Good,Visible,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5
Sheffield Stand,-6.264945567,53.34561337,315602.871,234198.01,"Eustace street, outside the Italian corner restaurant",4,High,85,100,,High,Low,All,Good,Visible,,,,,,,,,4
